maxAudio_max,acc_max,mag_max,gyro_max,maxAudio_min,acc_min,mag_min,gyro_min,maxAudio_skew,acc_skew,mag_skew,gyro_skew,maxAudio_kurtosis,acc_kurtosis,mag_kurtosis,gyro_kurtosis,maxAudio_sum,acc_sum,mag_sum,gyro_sum,maxAudio_mean,acc_mean,mag_mean,gyro_mean,maxAudio_std,acc_std,mag_std,gyro_std,maxAudio_var,acc_var,mag_var,gyro_var,class
4.10000e+02,1.08309e+00,1.95773e+02,5.07315e+00,2.73000e+02,9.23016e-01,5.75467e+01,4.29495e+00,-3.44055e-01,5.18716e-01,-2.68656e-01,1.25257e+00,-1.12271e+00,-1.38687e+00,-1.10970e+00,1.17715e+00,3.19800e+03,8.92714e+00,1.22029e+03,4.12997e+01,3.55333e+02,9.91904e-01,1.35588e+02,4.58885e+00,4.83761e+01,5.83147e-02,4.88449e+01,2.38938e-01,2.34025e+03,3.40060e-03,2.38582e+03,5.70912e-02,3.00000e+00
4.25000e+02,1.08505e+00,1.40457e+02,4.92614e+00,2.24000e+02,9.24782e-01,5.34304e+01,4.36854e+00,-2.94781e-01,-2.45267e-01,9.59844e-01,-6.08558e-02,-1.07509e+00,-1.50633e+00,8.13953e-01,-1.06611e+00,2.99100e+03,9.06624e+00,7.57688e+02,4.17747e+01,3.32333e+02,1.00736e+00,8.41876e+01,4.64163e+00,7.25259e+01,5.86395e-02,2.76939e+01,1.86115e-01,5.26000e+03,3.43859e-03,7.66951e+02,3.46389e-02,3.00000e+00
3.70000e+02,1.07610e+00,1.99309e+02,5.04543e+00,2.20000e+02,9.16053e-01,6.29460e+01,4.38321e+00,-1.19804e+00,-2.17548e-01,6.23462e-01,7.23860e-01,6.31534e-01,-1.15213e+00,-7.61642e-01,-5.28221e-02,2.87400e+03,9.02938e+00,1.07696e+03,4.20323e+01,3.19333e+02,1.00326e+00,1.19662e+02,4.67026e+00,4.97921e+01,5.75369e-02,4.81830e+01,2.20392e-01,2.47925e+03,3.31050e-03,2.32160e+03,4.85727e-02,3.00000e+00
3.57000e+02,1.08916e+00,1.97884e+02,4.99401e+00,2.31000e+02,9.18212e-01,5.63292e+01,4.31074e+00,-9.94493e-01,3.95041e-01,-1.23555e-01,-5.23752e-01,6.37191e-01,-9.13188e-01,-1.66370e+00,2.38097e+00,2.77200e+03,8.91369e+00,1.14703e+03,4.21436e+01,3.08000e+02,9.90410e-01,1.27447e+02,4.68262e+00,3.94462e+01,5.93402e-02,5.54415e+01,1.82536e-01,1.55600e+03,3.52125e-03,3.07376e+03,3.33195e-02,3.00000e+00
4.66000e+02,1.10216e+00,1.30866e+02,4.99509e+00,2.78000e+02,9.27438e-01,5.37337e+01,4.32561e+00,1.02291e+00,2.33299e-01,8.48666e-01,5.53286e-01,1.38620e+00,-1.09503e+00,3.03911e-01,-1.38831e+00,3.15500e+03,9.05624e+00,7.36915e+02,4.14705e+01,3.50556e+02,1.00625e+00,8.18795e+01,4.60784e+00,5.58169e+01,5.94587e-02,2.50570e+01,2.46375e-01,3.11553e+03,3.53534e-03,6.27854e+02,6.07006e-02,3.00000e+00
3.78000e+02,1.09133e+00,1.97893e+02,4.84846e+00,2.82000e+02,9.33364e-01,6.42695e+01,4.27833e+00,7.48280e-01,-1.75432e-02,5.50723e-01,5.46275e-01,-5.11405e-01,-1.70722e+00,-1.03329e+00,-1.46587e+00,2.85700e+03,9.07669e+00,1.08994e+03,4.08124e+01,3.17444e+02,1.00852e+00,1.21105e+02,4.53471e+00,3.34706e+01,6.03613e-02,4.94393e+01,2.16254e-01,1.12028e+03,3.64349e-03,2.44425e+03,4.67658e-02,3.00000e+00
3.72000e+02,1.09627e+00,1.96103e+02,4.91236e+00,2.70000e+02,9.04634e-01,5.53971e+01,4.38153e+00,-1.54348e-01,7.97654e-02,-1.57855e-01,-9.14633e-02,-1.41479e+00,-1.48866e+00,-1.79273e+00,-1.36069e+00,2.90000e+03,8.95103e+00,1.14354e+03,4.16707e+01,3.22222e+02,9.94558e-01,1.27060e+02,4.63007e+00,3.84765e+01,6.76053e-02,5.64380e+01,1.91184e-01,1.48044e+03,4.57047e-03,3.18524e+03,3.65513e-02,3.00000e+00
6.32000e+02,1.08142e+00,1.02268e+02,5.14636e+00,2.73000e+02,8.86515e-01,5.39020e+01,4.40028e+00,1.36649e+00,-1.90311e-01,1.11207e-01,1.18664e+00,1.19755e+00,-1.49365e+00,-1.71561e+00,9.79623e-01,3.48000e+03,8.92392e+00,7.02808e+02,4.18767e+01,3.86667e+02,9.91547e-01,7.80898e+01,4.65297e+00,1.17953e+02,6.95177e-02,1.84786e+01,2.40743e-01,1.39130e+04,4.83271e-03,3.41457e+02,5.79574e-02,3.00000e+00
4.57000e+02,1.07839e+00,1.98332e+02,5.04790e+00,3.01000e+02,9.17946e-01,6.37377e+01,4.26808e+00,9.17414e-01,-4.01551e-01,2.69779e-01,-6.11082e-01,1.08638e+00,-1.26657e+00,-1.47698e+00,-7.29287e-02,3.24500e+03,9.05368e+00,1.13233e+03,4.24022e+01,3.60556e+02,1.00596e+00,1.25815e+02,4.71136e+00,4.73342e+01,6.16624e-02,5.08193e+01,2.43915e-01,2.24053e+03,3.80225e-03,2.58260e+03,5.94946e-02,3.00000e+00
4.16000e+02,1.09010e+00,1.96436e+02,5.07315e+00,2.56000e+02,9.18774e-01,5.45274e+01,4.16203e+00,4.74324e-01,1.56709e-01,-1.24785e-01,6.43989e-02,4.72958e-01,-1.67706e+00,-1.80714e+00,6.27351e-01,2.93900e+03,8.95487e+00,1.13768e+03,4.17933e+01,3.26556e+02,9.94986e-01,1.26409e+02,4.64370e+00,4.73131e+01,6.40369e-02,5.65504e+01,2.70818e-01,2.23853e+03,4.10072e-03,3.19795e+03,7.33424e-02,3.00000e+00
