Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
0,  -0.030, -0.540,  0.777, 12.500, 47.240, 27.330,  4.520,  0.850, -0.060, 31.830, 37.750, 96.940, 249, 161
1,  -0.070, -0.516,  0.842, 42.590, 50.810, 23.580,  4.030,  1.040, -0.120, 31.830, 37.850, 96.940, 249, 127
2,  -0.105, -0.615,  0.845, 88.780, 54.050, 18.850,  4.640,  0.980,  0.000, 31.800, 37.820, 96.940, 245, 184
3,  -0.056, -0.590,  0.811, 133.800, 54.710, 13.460,  4.580,  0.920,  0.120, 31.800, 37.890, 96.940, 248, 137
4,  -0.029, -0.505,  0.814, 160.890, 55.540, 11.410,  4.330,  1.040, -0.120, 31.850, 37.850, 96.940, 247, 104
5,  -0.101, -0.573,  0.819, 161.980, 58.650,  9.070,  4.640,  0.920, -0.060, 31.830, 37.800, 96.940, 248, 107
6,  -0.089, -0.602,  0.848, 135.570, 61.350,  7.040,  4.520,  0.850,  0.060, 31.830, 37.760, 96.940, 247, 98
7,  -0.034, -0.533,  0.822, 106.040, 64.640,  5.440,  4.150,  1.040, -0.180, 31.810, 37.810, 96.930, 247, 149
8,  -0.066, -0.541,  0.777, 85.840, 62.220,  6.740,  4.330,  0.980, -0.060, 31.850, 37.850, 96.940, 249, 191
9,  -0.102, -0.574,  0.838, 49.850, 58.360, 10.460,  4.520,  0.850,  0.180, 31.800, 37.700, 96.930, 246, 189
10,  -0.060, -0.561,  0.866,  1.710, 56.020, 15.950,  4.330,  1.280, -0.240, 31.810, 37.800, 96.940, 245, 104
11,  -0.044, -0.583,  0.817, -39.490, 54.590, 18.310,  4.460,  1.040,  0.000, 31.810, 37.790, 96.940, 248, 144
12,  -0.080, -0.532,  0.797, -59.590, 53.750, 23.610,  4.520,  0.730,  0.000, 31.850, 37.780, 96.940, 248, 118
13,  -0.093, -0.551,  0.887, -49.300, 51.710, 25.660,  4.460,  1.220, -0.120, 31.810, 37.830, 96.940, 247, 116
14,  -0.050, -0.579,  0.861, -15.560, 47.110, 28.310,  4.270,  0.850,  0.000, 31.830, 37.820, 96.940, 248, 96
15,  -0.047, -0.541,  0.793,  6.260, 46.250, 27.820,  4.520,  0.730,  0.120, 31.850, 37.810, 96.940, 248, 146
16,  -0.071, -0.508,  0.844, 31.620, 49.500, 24.150,  4.390,  1.100,  0.000, 31.830, 37.810, 96.940, 250, 171
17,  -0.104, -0.583,  0.863, 74.690, 53.150, 20.240,  4.330,  0.850,  0.060, 31.830, 37.710, 96.940, 247, 149
18,  -0.067, -0.605,  0.798, 121.620, 55.240, 15.990,  4.880,  0.850,  0.120, 31.850, 37.790, 96.940, 247, 124
19,  -0.032, -0.497,  0.811, 155.530, 55.160, 12.780,  4.090,  1.100, -0.120, 31.890, 37.810, 96.940, 246, 144
20,  -0.105, -0.553,  0.832, 164.610, 57.850,  9.170,  4.520,  0.730,  0.120, 31.850, 37.830, 96.930, 247, 152
21,  -0.102, -0.606,  0.828, 144.140, 60.770,  7.030,  4.820,  0.790,  0.060, 31.850, 37.810, 96.940, 247, 132
22,  -0.023, -0.545,  0.795, 111.060, 64.400,  5.290,  4.270,  0.850, -0.180, 31.830, 37.830, 96.940, 249, 164
23,  -0.072, -0.532,  0.785, 92.290, 62.980,  5.630,  4.460,  0.730, -0.060, 31.830, 37.780, 96.940, 247, 132
24,  -0.109, -0.577,  0.828, 62.570, 59.720, 10.450,  4.880,  0.790,  0.060, 31.810, 37.770, 96.940, 247, 79
25,  -0.063, -0.555,  0.867, 14.500, 56.700, 14.700,  4.390,  0.980, -0.060, 31.810, 37.820, 96.940, 247, 112
26,  -0.044, -0.578,  0.775, -29.720, 55.790, 19.040,  4.150,  1.100, -0.120, 31.830, 37.820, 96.940, 249, 131
27,  -0.081, -0.539,  0.788, -56.530, 54.720, 22.330,  4.760,  0.790,  0.000, 31.810, 37.810, 96.940, 248, 144
28,  -0.088, -0.546,  0.883, -54.920, 52.360, 24.010,  4.330,  0.850, -0.060, 31.830, 37.810, 96.930, 249, 126
29,  -0.050, -0.570,  0.859, -23.780, 48.520, 26.870,  4.030,  1.040, -0.060, 31.830, 37.750, 96.850, 249, 156
30,  -0.048, -0.538,  0.785,  3.440, 46.370, 28.480,  4.820,  0.850,  0.000, 31.850, 37.810, 96.860, 246, 151
31,  -0.074, -0.506,  0.847, 26.140, 49.430, 26.650,  4.210,  1.100, -0.120, 31.850, 37.800, 96.860, 246, 165
32,  -0.094, -0.577,  0.871, 70.260, 52.870, 20.360,  4.330,  1.040,  0.060, 31.850, 37.750, 96.850, 248, 125
33,  -0.054, -0.576,  0.830, 120.280, 54.440, 16.040,  4.760,  0.610,  0.120, 31.810, 37.800, 96.880, 249, 148
34,  -0.026, -0.499,  0.811, 155.980, 55.810, 12.350,  4.330,  1.160, -0.180, 31.870, 37.740, 96.830, 248, 131
35,  -0.104, -0.554,  0.836, 162.790, 57.580,  9.770,  4.520,  0.850,  0.120, 31.810, 37.780, 96.890, 249, 116
36,  -0.097, -0.612,  0.831, 138.550, 61.500,  7.100,  4.820,  0.670,  0.060, 31.800, 37.780, 96.930, 247, 148
37,  -0.025, -0.543,  0.831, 106.400, 65.360,  4.640,  4.330,  0.850, -0.060, 31.810, 37.750, 96.940, 247, 108
38,  -0.059, -0.533,  0.778, 85.750, 62.410,  7.130,  4.330,  0.920,  0.180, 31.830, 37.850, 96.940, 248, 135
39,  -0.115, -0.583,  0.817, 23.250, 56.960, 13.850,  4.880,  0.790, -0.060, 31.850, 37.800, 96.940, 249, 164
40,  -0.070, -0.569,  0.859, -24.320, 55.530, 19.350,  4.390,  1.040, -0.060, 31.830, 37.770, 96.940, 248, 143
41,  -0.045, -0.573,  0.778, -54.130, 54.360, 22.530,  4.640,  0.850,  0.240, 31.810, 37.800, 96.940, 247, 125
42,  -0.089, -0.544,  0.784, -57.290, 51.920, 24.550,  4.760,  0.980, -0.060, 31.870, 37.850, 96.940, 249, 114
43,  -0.096, -0.554,  0.868, -29.930, 49.110, 26.790,  4.700,  0.920,  0.000, 31.810, 37.810, 96.940, 247, 141
44,  -0.065, -0.611,  0.830, -0.930, 45.780, 27.700,  3.970,  1.040,  0.000, 31.850, 37.750, 96.940, 247, 138
45,  -0.044, -0.558,  0.768, 20.650, 47.850, 27.700,  4.700,  0.790,  0.060, 31.830, 37.840, 96.930, 246, 155
46,  -0.087, -0.501,  0.831, 58.400, 51.920, 22.720,  4.270,  0.850, -0.060, 31.830, 37.800, 96.940, 248, 175
47,  -0.082, -0.571,  0.889, 107.800, 54.480, 16.960,  4.090,  1.160, -0.060, 31.810, 37.770, 96.940, 249, 133
48,  -0.052, -0.590,  0.809, 147.600, 54.770, 13.350,  4.640,  0.920,  0.120, 31.850, 37.810, 96.930, 250, 153
49,  -0.044, -0.496,  0.802, 164.810, 56.510, 10.160,  4.210,  1.100, -0.120, 31.810, 37.780, 96.940, 246, 129
50,  -0.087, -0.536,  0.858, 151.010, 59.690,  7.810,  4.030,  1.100,  0.060, 31.810, 37.720, 96.940, 248, 129
51,  -0.096, -0.626,  0.846, 116.430, 63.500,  5.180,  4.640,  0.980,  0.120, 31.830, 37.850, 96.940, 248, 151
52,  -0.030, -0.534,  0.829, 96.080, 64.280,  5.530,  4.210,  0.980, -0.180, 31.830, 37.770, 96.930, 247, 123
53,  -0.058, -0.510,  0.815, 69.580, 60.820,  7.370,  4.270,  0.980,  0.000, 31.830, 37.740, 96.940, 246, 144
54,  -0.109, -0.591,  0.835, 25.520, 57.480, 14.310,  4.520,  0.790,  0.060, 31.810, 37.830, 96.940, 248, 134
55,  -0.063, -0.558,  0.878, -22.800, 56.010, 18.800,  4.460,  0.790,  0.000, 31.830, 37.750, 96.940, 248, 209
56,  -0.034, -0.547,  0.812, -53.300, 54.640, 21.950,  4.090,  0.920,  0.060, 31.850, 37.790, 96.940, 247, 88
57,  -0.086, -0.559,  0.782, -57.280, 52.370, 24.100,  4.460,  0.850,  0.000, 31.830, 37.790, 96.940, 249, 100
58,  -0.092, -0.566,  0.870, -32.950, 49.610, 26.920,  4.270,  0.850,  0.060, 31.850, 37.760, 96.940, 247, 114
59,  -0.060, -0.594,  0.856, -1.880, 46.080, 27.490,  4.150,  1.160, -0.120, 31.850, 37.740, 96.940, 247, 129
60,  -0.056, -0.570,  0.766, 17.830, 47.990, 26.990,  4.580,  0.790,  0.120, 31.830, 37.790, 96.940, 246, 163
61,  -0.081, -0.524,  0.819, 50.880, 51.180, 22.060,  4.460,  0.980,  0.000, 31.850, 37.720, 96.940, 246, 155
62,  -0.072, -0.552,  0.892, 98.690, 53.910, 18.540,  3.970,  1.100, -0.120, 31.830, 37.810, 96.940, 250, 178
63,  -0.070, -0.614,  0.807, 141.360, 55.300, 14.150,  4.580,  0.730,  0.120, 31.830, 37.750, 96.940, 245, 116
64,  -0.038, -0.510,  0.785, 163.450, 56.250, 10.500,  4.460,  0.790, -0.060, 31.850, 37.810, 96.940, 247, 125
65,  -0.078, -0.530,  0.854, 156.420, 58.400,  8.540,  3.910,  1.100, -0.120, 31.850, 37.750, 96.940, 246, 140
66,  -0.110, -0.610,  0.834, 124.580, 62.900,  6.050,  4.390,  0.980,  0.120, 31.810, 37.730, 96.940, 248, 126
67,  -0.046, -0.560,  0.816, 100.590, 64.030,  4.590,  4.580,  1.040, -0.060, 31.850, 37.810, 96.940, 247, 134
68,  -0.041, -0.484,  0.814, 77.940, 61.330,  7.950,  3.910,  1.100, -0.120, 31.870, 37.780, 96.940, 249, 105
69,  -0.112, -0.579,  0.838, 37.430, 57.710, 12.340,  4.520,  0.980,  0.180, 31.810, 37.790, 96.940, 249, 127
70,  -0.078, -0.575,  0.862, -11.780, 55.880, 17.210,  4.270,  1.100,  0.000, 31.830, 37.820, 96.940, 248, 123
71,  -0.016, -0.525,  0.817, -48.680, 54.980, 19.370,  4.030,  1.040, -0.060, 31.810, 37.790, 96.940, 248, 114
72,  -0.076, -0.545,  0.777, -59.770, 52.870, 24.290,  4.460,  0.980,  0.000, 31.780, 37.820, 96.940, 247, 136
73,  -0.105, -0.592,  0.839, -39.720, 50.110, 25.840,  4.640,  0.850, -0.060, 31.830, 37.810, 96.940, 245, 147
74,  -0.047, -0.561,  0.876, -6.420, 46.390, 28.090,  4.150,  1.220, -0.060, 31.800, 37.780, 96.940, 248, 115
75,  -0.041, -0.568,  0.774, 14.170, 47.530, 27.450,  4.760,  0.920,  0.120, 31.870, 37.810, 96.940, 248, 124
76,  -0.095, -0.551,  0.794, 47.680, 50.570, 24.050,  4.640,  0.850,  0.000, 31.850, 37.810, 96.900, 247, 152
77,  -0.082, -0.557,  0.883, 96.290, 54.530, 18.270,  4.150,  0.920, -0.180, 31.850, 37.810, 96.840, 247, 132
78,  -0.064, -0.622,  0.810, 141.910, 54.700, 13.730,  4.520,  0.730,  0.000, 31.830, 37.790, 96.860, 247, 109
79,  -0.053, -0.543,  0.776, 163.990, 56.700, 10.470,  4.760,  0.730, -0.120, 31.850, 37.800, 96.810, 249, 131
80,  -0.084, -0.511,  0.848, 154.500, 58.980,  7.350,  4.270,  1.220, -0.180, 31.890, 37.840, 96.880, 250, 130
81,  -0.095, -0.613,  0.856, 118.710, 62.400,  5.730,  4.640,  0.850, -0.060, 31.800, 37.780, 96.880, 247, 150
82,  -0.052, -0.587,  0.810, 96.780, 63.900,  5.660,  4.760,  0.850, -0.060, 31.870, 37.800, 96.860, 249, 130
83,  -0.038, -0.493,  0.810, 69.790, 60.690,  8.570,  4.330,  1.160, -0.180, 31.780, 37.710, 96.920, 248, 118
84,  -0.100, -0.541,  0.861, 23.790, 56.150, 14.860,  4.210,  1.040,  0.060, 31.810, 37.790, 96.940, 248, 149
85,  -0.088, -0.594,  0.854, -23.290, 55.250, 17.830,  4.520,  0.730,  0.060, 31.810, 37.740, 96.940, 248, 120
86,  -0.027, -0.532,  0.820, -57.570, 53.340, 23.770,  4.460,  1.040, -0.060, 31.830, 37.710, 96.940, 250, 120
87,  -0.062, -0.512,  0.809, -47.560, 50.430, 25.590,  4.150,  0.850,  0.000, 31.830, 37.800, 96.930, 246, 122
88,  -0.105, -0.566,  0.854, -12.900, 46.960, 27.910,  4.700,  0.980,  0.000, 31.830, 37.830, 96.940, 248, 121
89,  -0.062, -0.558,  0.873,  7.950, 46.580, 28.530,  4.150,  1.040,  0.000, 31.800, 37.740, 96.940, 247, 134
90,  -0.037, -0.543,  0.802, 35.490, 49.610, 23.740,  4.270,  1.100,  0.000, 31.800, 37.800, 96.940, 248, 127
91,  -0.098, -0.558,  0.794, 81.150, 53.130, 19.750,  4.580,  0.790,  0.120, 31.830, 37.710, 96.940, 247, 104
92,  -0.087, -0.557,  0.879, 127.690, 54.270, 15.010,  4.090,  1.100, -0.120, 31.810, 37.800, 96.940, 250, 144
93,  -0.060, -0.581,  0.854, 158.070, 55.660, 11.010,  4.390,  0.980,  0.060, 31.830, 37.750, 96.940, 250, 148
94,  -0.061, -0.566,  0.770, 163.810, 57.470,  9.090,  4.700,  0.790,  0.060, 31.870, 37.790, 96.940, 250, 124
95,  -0.071, -0.506,  0.842, 137.150, 61.570,  6.700,  4.270,  0.730, -0.060, 31.850, 37.800, 96.930, 248, 151
