Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
0,  -0.070, -0.556,  0.826, 51.920, 55.710, 16.460,  4.330,  0.790,  0.000, 32.050, 37.620, 96.930, 247, 20
1,  -0.070, -0.557,  0.828, 52.210, 56.040, 16.250,  4.520,  1.040,  0.060, 32.060, 37.600, 96.880, 247, 52
2,  -0.069, -0.556,  0.828, 51.880, 55.680, 16.020,  4.460,  1.100,  0.060, 32.060, 37.610, 96.850, 248, 20
3,  -0.068, -0.557,  0.827, 51.810, 55.540, 15.520,  4.460,  0.980, -0.120, 32.060, 37.550, 96.870, 249, 58
4,  -0.069, -0.557,  0.828, 51.730, 55.050, 15.660,  4.580,  1.040,  0.000, 32.050, 37.560, 96.850, 248, 19
5,  -0.069, -0.555,  0.828, 51.730, 55.680, 16.300,  4.460,  0.980,  0.120, 32.030, 37.520, 96.880, 249, 58
6,  -0.070, -0.556,  0.828, 52.030, 55.290, 15.690,  4.460,  0.790,  0.060, 32.050, 37.570, 96.880, 248, 47
7,  -0.070, -0.557,  0.828, 52.800, 55.530, 15.880,  4.580,  0.980,  0.060, 32.050, 37.560, 96.870, 248, 0
8,  -0.069, -0.556,  0.827, 52.530, 55.510, 16.490,  4.520,  0.850,  0.000, 32.050, 37.590, 96.930, 250, 14
9,  -0.069, -0.556,  0.827, 51.930, 55.130, 15.600,  4.390,  0.980,  0.060, 32.030, 37.560, 96.940, 249, 43
10,  -0.070, -0.556,  0.828, 52.530, 55.070, 16.240,  4.460,  0.980, -0.120, 32.050, 37.610, 96.940, 248, 47
11,  -0.069, -0.556,  0.827, 52.000, 55.540, 16.430,  4.760,  1.040,  0.000, 32.050, 37.520, 96.940, 249, 53
12,  -0.069, -0.556,  0.828, 52.530, 56.050, 16.500,  4.520,  0.980,  0.000, 32.050, 37.530, 96.940, 248, 54
13,  -0.070, -0.557,  0.829, 52.530, 55.770, 16.410,  4.640,  1.160,  0.120, 32.050, 37.580, 96.940, 250, 64
