Index, accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, temp, rH, pressure, proximity, maxAudio
0,  -0.008, -0.589,  0.763, 17.000, 47.710, 27.320,  5.000,  0.850,  0.120, 32.010, 37.550, 96.940, 249, 410
1,  -0.060, -0.515,  0.801, 57.350, 51.480, 23.350,  4.330,  1.220, -0.120, 32.010, 37.530, 96.940, 249, 331
2,  -0.116, -0.578,  0.889, 113.130, 54.130, 16.890,  4.330,  1.160,  0.000, 32.050, 37.490, 96.940, 247, 318
3,  -0.072, -0.619,  0.820, 161.980, 54.460, 12.350,  4.580,  0.550,  0.060, 31.970, 37.540, 96.940, 248, 273
4,   0.013, -0.563,  0.757, 187.400, 55.730, 10.120,  4.330,  1.280, -0.120, 31.990, 37.480, 96.940, 247, 392
5,  -0.064, -0.452,  0.830, 184.450, 58.000,  7.930,  4.390,  0.920, -0.060, 31.970, 37.460, 96.940, 245, 349
6,  -0.140, -0.583,  0.902, 149.350, 61.290,  4.410,  4.210,  0.850,  0.000, 32.010, 37.510, 96.940, 248, 407
7,  -0.034, -0.631,  0.795, 110.180, 64.870,  3.380,  4.820,  0.730,  0.120, 31.970, 37.500, 96.940, 246, 397
8,  -0.030, -0.447,  0.807, 84.690, 62.870,  6.050,  4.210,  1.460, -0.060, 32.010, 37.600, 96.940, 250, 321
9,  -0.093, -0.530,  0.862, 42.740, 58.000, 11.610,  4.090,  1.100, -0.060, 32.030, 37.580, 96.940, 247, 375
10,  -0.127, -0.608,  0.870, -14.870, 55.860, 17.180,  4.640,  0.730,  0.120, 31.990, 37.490, 96.940, 249, 417
11,   0.005, -0.613,  0.781, -61.510, 55.180, 19.740,  4.640,  1.040, -0.120, 32.030, 37.520, 96.940, 248, 425
12,  -0.038, -0.489,  0.784, -85.550, 54.330, 24.550,  4.210,  1.160, -0.120, 31.970, 37.510, 96.940, 250, 378
13,  -0.125, -0.552,  0.862, -75.660, 51.890, 25.050,  4.460,  0.920,  0.060, 32.010, 37.540, 96.940, 249, 323
14,  -0.079, -0.637,  0.827, -35.660, 48.340, 27.780,  4.760,  0.730,  0.120, 31.960, 37.500, 96.940, 250, 294
15,   0.018, -0.562,  0.769, -0.610, 45.800, 27.510,  4.580,  1.100, -0.060, 31.960, 37.600, 96.940, 246, 325
16,  -0.049, -0.443,  0.823, 26.030, 48.490, 26.040,  4.330,  1.280, -0.060, 31.970, 37.480, 96.940, 249, 370
17,  -0.141, -0.594,  0.897, 72.680, 52.610, 20.760,  4.330,  0.920, -0.060, 31.940, 37.470, 96.940, 246, 235
18,  -0.040, -0.638,  0.805, 128.200, 55.220, 15.610,  4.880,  0.670,  0.060, 31.960, 37.490, 96.940, 246, 224
19,  -0.025, -0.472,  0.780, 172.750, 54.530, 12.290,  4.390,  1.220,  0.000, 31.940, 37.520, 96.940, 248, 379
20,  -0.088, -0.501,  0.858, 191.090, 55.800,  9.750,  4.210,  1.400, -0.120, 31.970, 37.540, 96.940, 248, 370
21,  -0.139, -0.605,  0.879, 174.410, 58.500,  7.020,  4.580,  0.550,  0.120, 31.970, 37.490, 96.940, 246, 332
22,   0.003, -0.607,  0.787, 132.430, 62.630,  3.150,  4.880,  1.280,  0.060, 31.970, 37.540, 96.940, 249, 262
23,  -0.026, -0.494,  0.771, 102.530, 64.580,  4.210,  4.210,  1.220,  0.000, 31.970, 37.500, 96.940, 248, 336
24,  -0.129, -0.542,  0.851, 74.330, 60.830,  7.530,  4.520,  1.100,  0.000, 31.970, 37.490, 96.940, 250, 300
25,  -0.095, -0.642,  0.836, 23.010, 57.120, 13.040,  4.940,  0.670,  0.180, 31.970, 37.540, 96.940, 247, 357
26,   0.012, -0.574,  0.785, -32.870, 55.580, 18.330,  4.390,  1.340, -0.120, 31.920, 37.500, 96.940, 247, 358
27,  -0.039, -0.439,  0.820, -74.800, 55.090, 22.240,  4.460,  1.400, -0.060, 31.970, 37.480, 96.920, 247, 339
28,  -0.141, -0.591,  0.877, -85.690, 53.410, 24.280,  4.580,  0.730,  0.240, 31.970, 37.500, 96.890, 247, 220
